region,year,value
western europe,2021,-5000
western europe,2022,-5000
western europe,2023,-5000
western europe,2024,-5000
western europe,2025,-5000
western europe,2026,-5000
western europe,2027,-5000
western europe,2028,-5000
western europe,2029,-5000
western europe,2030,-4500
western europe,2031,-4500
western europe,2032,-4000
western europe,2033,-3500
western europe,2034,0
western europe,2035,0
western europe,2036,0
western europe,2037,0
western europe,2038,0
western europe,2039,0
western europe,2040,0
china,2021,-2500
china,2022,-2500
china,2023,0
china,2024,0
china,2025,0
china,2026,0
china,2027,0
china,2028,0
china,2029,0
china,2030,0
china,2031,0
china,2032,0
china,2033,0
china,2034,0
china,2035,0
china,2036,0
china,2037,0
china,2038,0
china,2039,0
china,2040,0
north america,2021,-5000
north america,2022,-5000
north america,2023,-5000
north america,2024,-5000
north america,2025,-5000
north america,2026,-5000
north america,2027,-5000
north america,2028,-5000
north america,2029,-5000
north america,2030,-4500
north america,2031,-4500
north america,2032,-4000
north america,2033,-3500
north america,2034,0
north america,2035,0
north america,2036,0
north america,2037,0
north america,2038,0
north america,2039,0
north america,2040,0
rest of asia,2021,-2500
rest of asia,2022,-2500
rest of asia,2023,0
rest of asia,2024,0
rest of asia,2025,0
rest of asia,2026,0
rest of asia,2027,0
rest of asia,2028,0
rest of asia,2029,0
rest of asia,2030,0
rest of asia,2031,0
rest of asia,2032,0
rest of asia,2033,0
rest of asia,2034,0
rest of asia,2035,0
rest of asia,2036,0
rest of asia,2037,0
rest of asia,2038,0
rest of asia,2039,0
rest of asia,2040,0
